"","...1","X","Barcode","contig","Region","Type","From","To","Most_smimilar_known_cluster_name","Most_smimilar_known_cluster_type","Similarity_pct","Assembly","kort_navn","Domain","Phylum","Class","Order","Family","Genus","Species","Species_name","duplicate_kort_navn","Species_name_new"
"387",387,746,38,4,3.4,"RiPP-like",1646712,1656585,"Unknown","Unknown",0,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"388",388,747,38,4,3.5,"terpene",1765830,1787648,"toxoflavin/fervenulin","Other",14,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"389",389,748,38,4,3.6,"terpene",2136000,2162677,"hopene","Terpene",61,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"390",390,749,38,4,3.7,"T1PKS,hglE-KS",2234630,2286111,"hexacosalactone A","Other",9,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"391",391,750,38,4,3.8,"NRPS",2327795,2411856,"leupeptin Pr/leupeptin Ac","NRP",100,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"392",392,751,38,4,3.9,"T2PKS,terpene,PKS-like,other,oligosaccharide",2568508,2661030,"cinerubin B","Polyketide:Type II polyketide",74,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"393",393,752,38,4,3.1,"NRPS-like",2899383,2941622,"lipstatin","NRP",42,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"394",394,753,38,4,3.11,"lanthipeptide-class-iii,terpene",2983381,3016997,"SapB","RiPP:Lanthipeptide",100,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"395",395,754,38,4,3.12,"terpene",3077539,3097695,"2-methylisoborneol","Terpene",100,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"396",396,755,38,4,3.13,"melanin",3191685,3218925,"melanin","Other",28,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"397",397,756,38,4,3.14,"NI-siderophore",3291172,3304414,"Unknown","Unknown",0,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"398",398,757,38,4,3.15,"T3PKS",3381820,3422881,"alkylresorcinol","Polyketide",100,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"399",399,758,38,4,3.16,"CDPS",3473246,3493986,"Unknown","Unknown",0,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"400",400,759,38,4,3.17,"NAPAA",3494140,3528051,"e-Poly-L-lysine","NRP",100,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"401",401,760,38,4,3.18,"terpene",3618854,3642539,"isorenieratene","Terpene",100,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"402",402,761,38,4,3.19,"thioamitides",3690551,3712798,"lavendiol","Polyketide",6,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"403",403,762,38,4,3.2,"terpene,NRPS-like,NRPS",3737354,3786863,"antipain","NRP",100,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"404",404,763,38,4,3.21,"thioamitides,thiopeptide,LAP",3869199,3894285,"lactazole","RiPP:Thiopeptide",22,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"405",405,764,38,6,5.1,"lanthipeptide-class-iii,RiPP-like",29252,44179,"pristinin A3","RiPP",11,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"406",406,765,38,7,6.1,"PKS-like,butyrolactone,thiopeptide,LAP",83764,125662,"lactazole","RiPP:Thiopeptide",22,"barcode38","(i37)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces virginiae_A","Streptomyces virginiae_A",TRUE,"Streptomyces virginiae_A (i37)"
"407",407,766,39,1,1.1,"transAT-PKS,NRPS-like,NRPS",231411,31169,"largimiycin 38/largimycin 39","NRP+Polyketide:Modular type I polyketide",51,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"408",408,767,39,1,1.2,"lanthipeptide-class-iv",499307,52067,"class IV lanthipeptide/SflA","RiPP",100,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"409",409,768,39,1,1.3,"lanthipeptide-class-iv",525194,547051,"Unknown","Unknown",0,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"410",410,769,39,1,1.4,"NRPS-like,NRPS",561121,628114,"lobophorin A","Polyketide",11,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"411",411,770,39,1,1.5,"NAPAA",68286,716888,"e-Poly-L-lysine","NRP",100,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"412",412,771,39,1,1.6,"T2PKS,LAP,lanthipeptide-class-ii",992556,1068329,"xantholipin","Polyketide",40,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"413",413,772,39,1,1.7,"NRPS-like",1357805,1400619,"sporolide A/sporolide B","NRP+Polyketide:Enediyne type I polyketide",8,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"414",414,773,39,1,1.8,"lanthipeptide-class-i",1471751,1496537,"Unknown","Unknown",0,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"415",415,774,39,1,1.9,"NRPS-like,arylpolyene,ladderane,NRPS",1570058,1690998,"kitacinnamycin A/kitacinnamycin B/kitacinnamycin C/kitacinnamycin D/kitacinnamycin E/kitacinnamycin F","NRP",71,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"416",416,775,39,1,1.1,"RiPP-like",2252021,2261643,"deoxyhangtaimycin","Polyketide+NRP",2,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"417",417,776,39,1,1.11,"terpene",2265485,2285783,"skyllamycin D/skyllamycin E","NRP",2,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"418",418,777,39,1,1.12,"T3PKS",2385170,2424662,"naringenin","Polyketide:Type III polyketide",100,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"419",419,778,39,1,1.13,"lanthipeptide-class-iv",2867028,2890024,"Unknown","Unknown",0,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"420",420,779,39,1,1.14,"butyrolactone,T1PKS",3907746,3961816,"omnipeptin","NRP:Cyclic depsipeptide",5,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"421",421,780,39,1,1.15,"T1PKS,NRPS",4104742,4153405,"clifednamide D/clifednamide E/clifednamide F/clifednamide G/clifednamide H/clifednamide I/clifednamide J","Polyketide+NRP",100,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"422",422,781,39,1,1.16,"terpene",4260052,4280943,"geosmin","Terpene",100,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"423",423,782,39,1,1.17,"RRE-containing,thiopeptide",4709498,4744184,"funisamine","Polyketide",5,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"424",424,783,39,1,1.18,"T1PKS",4856560,4954476,"tripartilactam/niizalactam C","Polyketide",68,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"425",425,784,39,1,1.19,"NI-siderophore",6140929,6155007,"Unknown","Unknown",0,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"426",426,785,39,1,1.2,"RiPP-like",6366017,6376550,"Unknown","Unknown",0,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"427",427,786,39,1,1.21,"terpene",6758160,6777756,"persiamycin A","Polyketide:Type II polyketide",5,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"428",428,787,39,1,1.22,"NRPS-like,betalactone",6981600,7024439,"Unknown","Unknown",0,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"429",429,788,39,1,1.23,"amglyccycl",7092164,7113471,"cetoniacytone A","Other:Cyclitol",6,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"430",430,789,39,1,1.24,"guanidinotides",7158764,7187583,"ketomemicin B3/ketomemicin B4","Other",83,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"431",431,790,39,1,1.25,"NI-siderophore",7200378,7215196,"peucechelin","NRP",25,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"432",432,791,39,1,1.26,"terpene",7437615,7463678,"hopene","Terpene",69,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"433",433,792,39,1,1.27,"terpene",7477669,7495415,"acarviostatin I03/acarviostatin II03/acarviostatin III03/acarviostatin IV03","Saccharide",11,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"434",434,793,39,1,1.28,"NRPS",7695949,7748408,"enduracidin","NRP",12,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"435",435,794,39,1,1.29,"T2PKS",7782946,7855449,"spore pigment","Polyketide",75,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"436",436,795,39,1,1.3,"transAT-PKS,T3PKS,PKS-like",7872564,7986611,"dumulmycin/shuangdaolide A/shuangdaolide C/shuangdaolide B/shuangdaolide D","Polyketide",71,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"437",437,796,39,1,1.31,"NRPS,other",8041136,8131489,"rimosamide","NRP",42,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"438",438,797,39,1,1.32,"terpene",8134864,8154439,"Unknown","Unknown",0,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"439",439,798,39,1,1.33,"terpene",8168359,8188423,"ebelactone","Polyketide",8,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"440",440,799,39,1,1.34,"terpene",8329233,8350998,"ossamycin","Polyketide",9,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"441",441,800,39,1,1.35,"RiPP-like",8697219,8708070,"Unknown","Unknown",0,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"442",442,801,39,1,1.36,"hglE-KS,T1PKS",8732812,8784938,"hexacosalactone A","Other",13,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"443",443,802,39,1,1.37,"lanthipeptide-class-ii,NRPS",8959310,9023107,"ralsolamycin","NRP+Polyketide",60,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"444",444,803,39,1,1.38,"NRPS,NRPS-like",9036024,9079220,"echinomycin","NRP",22,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"445",445,804,39,1,1.39,"terpene",9219357,9240310,"Unknown","Unknown",0,"barcode39","(i38)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora","s__","Kitasatospora (i38)",FALSE,"Kitasatospora (i38)"
"446",446,805,40,1,1.1,"other,T1PKS,butyrolactone",6427,70115,"lactonamycin","Polyketide",5,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"447",447,806,40,1,1.2,"other,NRPS,NRPS-like,T1PKS",90738,185827,"polyoxypeptin","NRP+Polyketide",48,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"448",448,807,40,2,2.1,"other,lanthipeptide-class-ii",129975,178948,"A-503083 A/A-503083 B/A-503083 E/A-503083 F","NRP",7,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"449",449,808,40,2,2.2,"RiPP-like,terpene,LAP",429932,472968,"telomestatin","RiPP",23,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"450",450,809,40,2,2.3,"T1PKS,hglE-KS",571594,621015,"hexacosalactone A","Other",13,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"451",451,810,40,2,2.4,"other",729783,768541,"tambjamine BE-18591","Alkaloid+Polyketide",14,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"452",452,811,40,2,2.5,"terpene",820734,845192,"hopene","Terpene",92,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"453",453,812,40,2,2.6,"NAPAA",898545,930511,"rifamorpholine A/rifamorpholine B/rifamorpholine C/rifamorpholine D/rifamorpholine E","Polyketide",9,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"454",454,813,40,2,2.7,"ectoine,butyrolactone",1088326,1105805,"showdomycin","Other",58,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"455",455,814,40,2,2.8,"redox-cofactor",1148710,1171095,"K-252a","Alkaloid",14,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"456",456,815,40,2,2.9,"terpene",1276596,1295469,"legonindolizidine A6","NRP+Alkaloid",16,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"457",457,816,40,2,2.1,"butyrolactone",1411341,1422282,"neocarzinostatin","Polyketide:Iterative type I polyketide+Polyketide:Enediyne type I polyketide",4,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"458",458,817,40,2,2.11,"other,phosphonate",1440525,1480748,"FR-900098","Other",27,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"459",459,818,40,2,2.12,"RiPP-like",1601511,1611294,"Unknown","Unknown",0,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"460",460,819,40,2,2.13,"T1PKS,NI-siderophore",1790847,1845914,"kinamycin","Polyketide",36,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"461",461,820,40,2,2.14,"CDPS",2198684,2219352,"BD-12","NRP",17,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"462",462,821,40,2,2.15,"NRPS-like,ladderane,NRPS",2634103,2693217,"colibrimycin","NRP+Other",59,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"463",463,822,40,2,2.16,"T3PKS",3313134,3353743,"violapyrone B","Polyketide",28,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"464",464,823,40,2,2.17,"terpene",3683319,3703520,"TVA-YJ-2","RiPP",26,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"465",465,824,40,2,2.18,"lanthipeptide-class-i",4135681,4157668,"Unknown","Unknown",0,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"466",466,825,40,2,2.19,"T3PKS",4234372,4275463,"GE81112","NRP",14,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"467",467,826,40,2,2.2,"melanin",4402994,4412548,"istamycin","Saccharide",5,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"468",468,827,40,2,2.21,"NI-siderophore",5045138,5056907,"desferrioxamin B","Other",80,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
"469",469,828,40,2,2.22,"NRPS,oligosaccharide,T2PKS,PKS-like,RiPP-like",5298878,5375702,"aureonuclemycin","Polyketide",51,"barcode40","(i39)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces sp001279695","Streptomyces sp001279695",TRUE,"Streptomyces sp001279695 (i39)"
